"incident_county","incident_name","incident_acres_burned","incident_latitude","incident_longitude","incident_type","incident_date_created","incident_dateonly_created","created_year","created_month","incident_date_extinguished","incident_dateonly_extinguished","incident_id"
"Monterey","Bradley Fire ","230","35.94979","-120.81509","Wildfire","2020-06-08 09:16:07-07","2020-06-08","2020","6","2020-06-09 05:24:00-07","2020-06-09","6b50bab1-7dcf-43c8-b4d1-afada595dd32"
"Riverside","Sierra Fire","100","33.82925","-117.46036","Wildfire","2020-06-08 10:46:04-07","2020-06-08","2020","6","2020-06-09 11:45:00-07","2020-06-09","125e30fa-37fb-46ea-86ab-13058518aab6"
"Mariposa","Hunters Fire","85","37.61955","-120.215454","Wildfire","2020-06-07 12:15:00-07","2020-06-07","2020","6","2020-06-10 00:03:00-07","2020-06-10","876b63ff-62a2-4584-8aa2-d99f027c0e9f"
"Solano","Quail Fire","1837","38.470809","-122.038208","Wildfire","2020-06-06 09:36:26-07","2020-06-06","2020","6","2020-06-10 00:48:00-07","2020-06-10","74b04a44-7cc1-4c8e-bd9e-9f3efa631df4"
"Mendocino","Vineyard Fire ","151","38.89695","-123.21318","Wildfire","2020-06-09 08:22:55-07","2020-06-09","2020","6","2020-06-10 11:57:00-07","2020-06-10","dc1f8080-9c95-40e3-859b-71f6a080f05b"
"San Luis Obispo","Soda Fire","1680","35.35146","-120.00521","Wildfire","2020-06-10 07:52:42-07","2020-06-10","2020","6","2020-06-11 13:23:00-07","2020-06-11","3e6e0977-3563-442d-8bf3-d87c97b49880"
"Placer","Watt Fire","40","38.733421","-121.378879","Wildfire","2020-06-11 11:25:12-07","2020-06-11","2020","6","2020-06-11 13:46:00-07","2020-06-11","e86309b6-2223-4448-a7a2-bb83d4bc8352"
"Ventura","Elizabeth Fire","300","34.29475","-119.17808","Wildfire","2020-06-10 06:11:26-07","2020-06-10","2020","6","2020-06-12 00:53:00-07","2020-06-12","c3c10b8f-a073-4ca6-bb7f-fdc57cf82b4c"
"San Diego","India Fire","1100","33.37579","-117.47166","Wildfire","2020-06-09 14:51:40-07","2020-06-09","2020","6","2020-06-12 02:23:00-07","2020-06-12","21f49b4c-a5cd-4f17-90fd-b9f464b823c1"
"Riverside","Dawson Fire ","10","33.776033","-117.461925","Wildfire","2020-06-13 11:32:06-07","2020-06-13","2020","6","2020-06-13 01:26:00-07","2020-06-13","90d7bf99-5b46-4a48-a07c-7468829e50b3"
"San Diego","Border 7 Fire","90","32.580882","-116.690712","Wildfire","2020-06-11 09:57:46-07","2020-06-11","2020","6","2020-06-13 11:00:00-07","2020-06-13","203115aa-8ef9-436c-9d18-32613f9fa286"
